id	tdl	sym
1	Tbio	YWHAE
2	Tchem	YWHAH
3	Tchem	YWHAQ
4	Tbio	HLA-A
5	Tbio	HLA-A
6	Tbio	HLA-B
7	Tbio	HLA-B
8	Tbio	HLA-B
9	Tbio	HLA-B
10	Tbio	HLA-B
11	Tbio	HLA-B
12	Tbio	HLA-B
13	Tbio	HLA-B
14	Tbio	HLA-B
15	Tbio	HLA-B
16	Tbio	HLA-B
17	Tbio	HLA-B
18	Tbio	HLA-B
19	Tbio	HLA-B
20	Tbio	HLA-B
21	Tbio	HLA-B
22	Tbio	HLA-B
23	Tchem	HSD3B1
24	Tbio	HSD3B7
25	Tbio	SH3BP1
26	Tclin	HTR2B
27	Tclin	HTR2C
28	Tbio	NT5C1B
29	Tbio	NT5C3A
30	Tchem	NT5E
31	Tchem	PGD
32	Tbio	PGLS
34	Tdark	ANKRD20A4
35	Tdark	ADAMTSL4-AS1
36	Tchem	APP
37	Tclin	ADORA1
38	Tclin	ADORA2B
39	Tchem	ADORA3
40	Tchem	CHRNB3
41	Tbio	ACTL7B
42	Tclin	CHRM1
45	Tbio	ACSM2A
46	Tbio	ACSS1
47	Tbio	ACSF3
48	Tbio	ACSL5
49	Tbio	ACSM1
50	Tbio	ACSM3
51	Tbio	ACTBL2
53	Tdark	ACTL8
54	Tbio	ACTN1
55	Tbio	ACTN2
56	Tchem	ACVR1
57	Tbio	ACY1
58	Tbio	ACY3
59	Tchem	ADAM10
60	Tbio	ADAM11
61	Tchem	ADAM17
62	Tbio	ADAM19
63	Tclin	ADRA1D
64	Tdark	ADAM20
65	Tdark	ADAM21
66	Tbio	ADAM29
67	Tclin	ADRA2A
68	Tbio	ADAT2
69	Tdark	ADAT3
70	Tclin	ADA
71	Tbio	ADCK2
72	Tdark	ADCK5
73	Tdark	AADACL3
74	Tchem	ADCY5
75	Tbio	ADH6
76	Tbio	ADIRF
77	Tchem	ADK
78	Tdark	ADPRM
79	Tclin	ADRB2
80	Tbio	FDX1
81	Tbio	AEBP1
82	Tbio	AEN
85	Tbio	AGO1
87	Tchem	YWHAB
88	Tbio	HLA-B
89	Tbio	HLA-B
90	Tbio	HLA-C
91	Tbio	HLA-C
92	Tbio	HLA-C
93	Tbio	HLA-C
