id	tdl	sym
94	Tbio	HLA-C
95	Tbio	HLA-C
96	Tbio	HLA-C
97	Tbio	HLA-C
98	Tbio	PPP2R2B
99	Tbio	PPP2R2D
100	Tbio	PPP2R2C
101	Tbio	HLA-DRB1
102	Tbio	HLA-DRB1
103	Tclin	HTR1D
104	Tclin	HTR2A
105	Tclin	HTR3A
106	Tchem	HTR3B
107	Tchem	HTR3C
108	Tchem	HTR3D
109	Tchem	HTR3E
110	Tchem	HTR5A
111	Tclin	HTR7
112	Tbio	NT5C2
114	Tbio	SCG5
115	Tbio	PRKAG3
116	Tbio	GOT1
117	Tbio	AATF
118	Tbio	ABHD17B
119	Tbio	ABHD17C
120	Tbio	APOBEC3B
121	Tbio	APOBEC3C
122	Tbio	APOBEC3G
123	Tbio	ABCA2
124	Tbio	ABCA3
125	Tbio	ABCA7
126	Tbio	ABCA8
127	Tdark	ABCA9
128	Tdark	ABCA10
129	Tbio	ABCA12
130	Tbio	ABCA13
131	Tbio	ABCB8
132	Tchem	ABCB11
133	Tbio	ABCD2
134	Tbio	ABCE1
135	Tbio	ABCG1
136	Tchem	ABL2
137	Tbio	ACADS
138	Tbio	ACAP1
139	Tchem	SLC33A1
140	Tbio	ACSBG1
141	Tbio	ACD
142	Tbio	ACER1
143	Tbio	ACER3
144	Tclin	ACHE
145	Tchem	CHRNA2
146	Tbio	CHRNA5
147	Tclin	CHRNB2
148	Tbio	ACIN1
149	Tbio	ACTL7A
150	Tclin	CHRM2
151	Tclin	CHRM4
152	Tbio	ACO1
153	Tchem	SCD
154	Tbio	ACOT4
155	Tclin	NDUFAB1
156	Tchem	ACR
157	Tdark	AASDH
158	Tbio	ACTA2
159	Tbio	ACTA1
160	Tdark	ACTRT1
161	Tdark	ACTRT2
162	Tdark	ACTRT3
163	Tbio	ACTR1A
164	Tbio	PPP2R5D
165	Tbio	PPP2R5E
166	Tbio	PPP2R5C
167	Tbio	HLA-DRB1
168	Tbio	HLA-DRB1
169	Tbio	HLA-DRB1
170	Tbio	HLA-DRB1
171	Tbio	HLA-DRB1
172	Tbio	ATG16L2
173	Tbio	A1BG
174	Tbio	A1CF
176	Tdark	ANKRD20A2
177	Tdark	ATXN7L3B
178	Tbio	AADAC
179	Tchem	AADAT
180	Tchem	AAK1
181	Tdark	AARD
182	Tdark	AARSD1
183	Tbio	APOBEC3A
184	Tbio	APOBEC3D
185	Tclin	ABCA1
186	Tbio	ABCB10
187	Tclin	ABCC8
188	Tbio	ABCG8
189	Tdark	ABHD4
190	Tdark	ABHD13
191	Tbio	ABR
192	Tbio	ABTB1
194	Tbio	ACKR4
195	Tbio	ACRBP
196	Tdark	ACSM2B
197	Tbio	ACSS2
198	Tbio	ACSL3
199	Tbio	ACSL4
200	Tdark	ACSM5
201	Tbio	ACTB
202	Tbio	ACTC1
203	Tbio	ACTG1
204	Tclin	MC2R
205	Tbio	ACTG2
206	Tdark	ACTL9
207	Tbio	ACTN4
210	Tdark	ADAM7
211	Tchem	ADAM9
212	Tbio	ADAP1
214	Tbio	AGPS
215	Tclin	CHRNA3
216	Tchem	CHRNA9
217	Tclin	CHRND
218	Tclin	CHRNE
219	Tclin	CHRNG
220	Tchem	TNK2
221	Tchem	ACKR3
222	Tdark	ACTL10
223	Tbio	ACTL6A
224	Tbio	ACTL6B
225	Tbio	ACOT12
226	Tbio	ACOT13
227	Tbio	ACO2
228	Tdark	ACOT6
229	Tbio	ACOT8
230	Tbio	ACVR1C
231	Tdark	ADAM32
232	Tchem	ADAM33
233	Tdark	ADAD2
234	Tbio	ADAM2
235	Tchem	ADAM8
236	Tbio	ADAP2
237	Tbio	ADCY7
238	Tchem	ADCY10
239	Tbio	ADD2
240	Tbio	ADAMDEC1
241	Tdark	ADGB
242	Tclin	ADH1A
243	Tclin	ADH1B
245	Tbio	AIMP2
246	Tchem	AKT1S1
247	Tdark	ALG3
248	Tbio	ALKBH1
249	Tchem	ALKBH3
250	Tbio	ALKBH7
251	Tbio	ALKBH8
253	Tclin	ALK
254	Tdark	ALLC
255	Tbio	AMBN
256	Tbio	AMMECR1
257	Tchem	RNPEP
258	Tbio	AMBRA1
259	Tchem	AMY1C
260	Tbio	AMY2B
261	Tdark	AMZ2
262	Tdark	ANKRD13A
263	Tbio	ANKRD13C
265	Tbio	ANP32B
266	Tdark	ANKRD33B
267	Tbio	ANAPC2
268	Tbio	ANGPTL6
269	Tbio	ANGPTL7
270	Tbio	ANGPT1
271	Tbio	ANGPT2
272	Tbio	ANGPT4
273	Tbio	ANK1
274	Tbio	ANK2
275	Tdark	ANKFN1
276	Tbio	ANKHD1
277	Tbio	ANKLE2
278	Tbio	ANKRD2
279	Tdark	ANKRD9
280	Tdark	ANKMY2
281	Tbio	ANLN
282	Tbio	YWHAG
283	Tbio	YWHAZ
284	Tbio	HLA-A
285	Tdark	ACCSL
286	Tbio	HLA-A
287	Tbio	HLA-A
288	Tbio	HLA-A
289	Tbio	HLA-A
290	Tbio	HLA-A
291	Tbio	HLA-A
292	Tbio	HLA-A
293	Tbio	HLA-A
294	Tbio	HLA-B
295	Tbio	HLA-B
296	Tbio	HLA-B
297	Tbio	HLA-B
298	Tbio	HLA-B
299	Tbio	HLA-B
300	Tbio	HLA-C
301	Tbio	HLA-C
302	Tbio	HLA-C
303	Tbio	HLA-C
304	Tbio	HLA-C
305	Tbio	HLA-C
306	Tbio	ACMSD
307	Tchem	APEH
308	Tbio	ACSL1
309	Tbio	ACSL6
312	Tchem	ACVR1B
313	Tchem	ACVRL1
314	Tchem	ADAM12
315	Tbio	ADAM15
316	Tclin	ADRA2B
317	Tdark	ADAM30
318	Tbio	ADAD1
319	Tbio	ADAL
320	Tbio	ADAT1
321	Tdark	AADACL2
322	Tbio	ADCY2
323	Tbio	ADCY3
324	Tbio	ADCY8
325	Tbio	ADCY9
326	Tbio	ADH4
327	Tchem	ADH7
329	Tbio	ADIPOQ
330	Tdark	ADM5
331	Tbio	ADNP
332	Tclin	ADRB3
333	Tbio	ADTRP
334	Tbio	ADO
335	Tdark	MAMDC4
336	Tbio	AFG3L2
337	Tbio	AGFG2
338	Tbio	AGO4
340	Tbio	AHSA1
341	Tbio	AICDA
342	Tbio	AIF1
343	Tbio	AIFM3
344	Tbio	HLA-A
345	Tbio	ACCS
346	Tbio	HLA-A
347	Tbio	HLA-A
348	Tbio	HLA-A
349	Tbio	HLA-A
350	Tbio	HLA-A
351	Tbio	HLA-A
352	Tbio	HLA-A
353	Tbio	HLA-A
354	Tbio	HLA-A
355	Tbio	HLA-B
356	Tbio	HLA-B
357	Tbio	HLA-B
358	Tbio	HLA-B
359	Tbio	HLA-B
360	Tbio	HLA-B
361	Tbio	HLA-B
362	Tbio	HLA-B
363	Tbio	HLA-B
364	Tbio	HLA-B
365	Tbio	PPP2R5B
366	Tbio	PPP2R1A
367	Tbio	PPP2R1B
368	Tbio	HLA-DRB1
369	Tbio	HLA-DRB1
370	Tbio	HLA-DRB1
371	Tdark	SH3BP5L
372	Tbio	HAAO
373	Tbio	HIBADH
374	Tdark	ARL14EPL
375	Tbio	ORM1
376	Tbio	ORM2
377	Tbio	SERPINA1
378	Tdark	ANKRD20A1
379	Tdark	ANKRD20A3
381	Tbio	LRG1
382	Tbio	A2M
383	Tdark	A3GALT2
384	Tbio	A4GNT
385	Tclin	ADORA2A
386	Tbio	SLC7A10
387	Tbio	SERPINA3
388	Tbio	AAGAB
389	Tchem	PRKAB1
390	Tchem	PRKAB2
391	Tdark	AAMDC
392	Tchem	PRKAA1
393	Tbio	AAR2
394	Tbio	AASS
395	Tbio	GOT2
396	Tdark	ABHD12B
397	Tbio	ABHD17A
398	Tbio	APBB1IP
399	Tbio	APOBEC3F
400	Tbio	APOBEC3H
401	Tchem	ABHD12
402	Tchem	ABHD6
403	Tdark	ABHD14B
404	Tchem	ABHD16A
405	Tdark	ABHD16B
406	Tbio	ABI1
407	Tbio	ABI3
408	Tbio	ABLIM3
409	Tbio	ABT1
410	Tdark	ABTB2
411	Tchem	ACACB
412	Tbio	ACAD8
413	Tbio	ACAD9
414	Tbio	ACADL
415	Tbio	ACADVL
416	Tbio	ACAP2
417	Tdark	ACAP3
418	Tdark	ACBD4
419	Tbio	ACBD5
420	Tbio	ACBD6
421	Tdark	ACBD7
422	Tclin	CHRNA4
423	Tchem	CHRNA6
424	Tchem	CHRFAM7A
425	Tclin	CHRNA1
426	Tclin	CHRNB4
427	Tclin	CHRNB1
428	Tbio	ACKR2
429	Tchem	ACLY
430	Tclin	CHRM3
431	Tclin	CHRM5
432	Tdark	ACOT1
433	Tdark	ACOT9
434	Tbio	ACOX1
435	Tbio	ACOX2
436	Tclin	HSD3B2
437	Tbio	SH3BP2
438	Tbio	SH3BP5
439	Tbio	EPB41
440	Tbio	EIF4EBP2
441	Tbio	EIF4ENIF1
442	Tbio	SLC3A2
443	Tclin	HTR1A
444	Tclin	HTR1B
445	Tchem	HTR1E
446	Tchem	HTR1F
447	Tclin	HTR4
448	Tchem	HTR6
449	Tbio	NT5C1A
450	Tdark	NT5C3B
451	Tdark	ALDH16A1
452	Tbio	ATG16L1
453	Tbio	SERPINF2
454	Tbio	A2ML1
455	Tbio	AACS
456	Tdark	GOT1L1
457	Tbio	ABCA4
459	Tbio	ABCB5
460	Tbio	ABCB6
461	Tbio	ABCB7
462	Tbio	ABCG4
463	Tbio	ABCG5
464	Tdark	ABHD15
465	Tbio	ABHD2
466	Tbio	ABHD5
467	Tdark	ABHD8
468	Tbio	ABHD11
469	Tclin	ABL1
470	Tbio	ABLIM1
471	Tdark	ABLIM2
472	Tbio	ABRACL
473	Tbio	ABRA
476	Tchem	ACACA
477	Tbio	ACADM
478	Tbio	ACAD10
479	Tbio	ACAD11
480	Tbio	ACADSB
481	Tchem	ACE2
482	Tchem	ACER2
483	Tclin	ACE
484	Tchem	CHRNA10
485	Tchem	ADH5
487	Tbio	SSX2IP
488	Tbio	SLC25A4
489	Tbio	AEBP2
490	Tbio	MLLT3
491	Tbio	AFAP1
492	Tbio	AFF1
493	Tbio	AFF2
494	Tbio	ALG10
495	Tbio	ALG10B
498	Tdark	AGAP3
499	Tdark	AGAP5
501	Tbio	AGFG1
502	Tbio	AGK
503	Tbio	AHI1
504	Tchem	AHR
505	Tbio	AIDA
506	Tbio	AIFM1
507	Tbio	AIRE
508	Tbio	AKR1C4
509	Tbio	AKAP7
510	Tbio	AKAP1
511	Tbio	AKAP8
512	Tbio	AKAP9
513	Tchem	AURKAIP1
514	Tbio	AKIRIN2
515	Tbio	AKAP13
516	Tbio	AKAP8L
517	Tdark	ARL14EP
518	Tbio	ALDH1L1
519	Tbio	ALDH9A1
520	Tbio	GPT
521	Tclin	AKR1B1
522	Tbio	GNAS
523	Tbio	ALG5
524	Tbio	ALG9
525	Tbio	AMIGO2
526	Tbio	AMHR2
527	Tbio	AMN
528	Tbio	ACOT11
529	Tbio	THEM5
530	Tbio	ACOT2
531	Tbio	ACOX3
532	Tdark	ACOXL
533	Tdark	ACSF2
534	Tdark	ACSM4
535	Tdark	ACSS3
536	Tdark	ACTR1B
537	Tbio	ASPA
538	Tbio	ACYP1
539	Tclin	ADRA1B
540	Tclin	ADRA2C
541	Tdark	ADCK1
542	Tdark	AADACL4
543	Tchem	ADCY1
544	Tbio	ADCY4
545	Tchem	ADCY6
546	Tbio	ADM
547	Tclin	ADRB1
548	Tbio	SCIN
549	Tbio	SLC25A6
550	Tbio	SLC25A31
551	Tbio	AES
552	Tdark	MLLT6
553	Tbio	AFAP1L1
554	Tbio	AFAP1L2
555	Tbio	AFM
556	Tbio	AFF3
557	Tbio	AFF4
558	Tclin	GLA
559	Tbio	AGAP1
560	Tbio	AGAP2
561	Tdark	AGAP4
562	Tdark	AGAP6
563	Tbio	AGGF1
564	Tbio	AKR1D1
565	Tbio	AKAP10
566	Tbio	AKAP14
567	Tdark	ANKDD1A
568	Tbio	AKIP1
569	Tbio	AKNA
570	Tchem	AKT1
571	Tbio	AKTIP
572	Tchem	ALDH1A1
573	Tbio	ALDH3A2
574	Tbio	ALDH3B1
575	Tbio	ALDH8A1
576	Tchem	ALB
577	Tclin	ALDH2
578	Tbio	ALDOB
579	Tbio	ALG11
580	Tbio	ALG12
581	Tdark	ALKBH4
582	Tbio	ALKBH5
583	Tbio	SFN
584	Tchem	PPP2R5A
585	Tchem	PPP2R2A
586	Tchem	HLA-DRB1
587	Tbio	HLA-DRB1
588	Tbio	HLA-DRB1
589	Tchem	MPG
590	Tbio	EIF4EBP1
591	Tbio	EIF4EBP3
592	Tchem	NUDT1
595	Tbio	A4GALT
596	Tbio	AAAS
597	Tchem	SLC1A5
598	Tdark	AAED1
599	Tbio	PRKAG1
600	Tbio	PRKAG2
601	Tbio	AAMP
602	Tchem	PRKAA2
604	Tbio	ABCA5
605	Tbio	ABCA6
606	Tbio	ABCB9
607	Tclin	ABCC9
608	Tbio	ABCC11
610	Tbio	ABCD1
611	Tbio	ABCD3
612	Tbio	ABCD4
613	Tbio	ABCF1
614	Tbio	ABCF2
615	Tdark	ABCF3
616	Tchem	ABCG2
618	Tbio	APOBEC1
619	Tbio	APOBEC2
620	Tdark	APOBEC4
621	Tdark	ABHD1
622	Tbio	ABHD3
623	Tbio	ABHD10
624	Tdark	ABHD14A
625	Tbio	ABI2
626	Tdark	ACSBG2
627	Tbio	DBI
628	Tbio	APBA1
629	Tbio	APBA2
630	Tbio	APBA3
631	Tbio	APPBP2
632	Tbio	ANAPC10
633	Tbio	ANAPC13
634	Tchem	APLNR
635	Tbio	APLF
636	Tbio	APOA2
637	Tbio	APOA4
638	Tbio	LPA
639	Tbio	ASPRV1
640	Tbio	APTX
641	Tbio	AQP12A
642	Tbio	AQP10
643	Tbio	AQP1
645	Tbio	AQP7
646	Tbio	AQP9
647	Tbio	ARL13B
648	Tchem	ARAF
650	Tbio	ARC
651	Tdark	AREL1
652	Tchem	ARF1
653	Tbio	ARF3
654	Tbio	ARF4
655	Tbio	ARFIP1
656	Tbio	ARFIP2
657	Tbio	ARHGEF28
658	Tdark	ARGLU1
659	Tdark	ARHGEF40
660	Tbio	ARHGEF3
661	Tbio	ARHGEF5
662	Tbio	ARHGEF6
663	Tbio	ARHGEF7
664	Tbio	ARHGEF10
665	Tbio	ARHGEF16
666	Tdark	ARHGEF19
667	Tbio	ARHGEF26
668	Tbio	ADPRHL2
669	Tbio	ARID3A
670	Tbio	ARID4A
671	Tbio	ARID4B
672	Tbio	AKR7A2
673	Tdark	ARL10
674	Tbio	ARL15
676	Tbio	ARL3
677	Tbio	ARL4A
678	Tdark	ARMC12
679	Tdark	ARMCX3
680	Tdark	ARPC5L
681	Tdark	ACTR6
682	Tbio	ARPC2
683	Tbio	ARPC5
684	Tbio	ARR3
685	Tbio	ARRDC1
686	Tbio	ARSA
687	Tbio	ARSE
688	Tbio	ARSF
689	Tbio	ASAH2
690	Tbio	ASB10
691	Tdark	ASB11
692	Tdark	ASB13
693	Tdark	ASB15
694	Tdark	ASB16
695	Tdark	ASB3
696	Tbio	ASB4
697	Tdark	ASB5
698	Tbio	ASCC1
699	Tbio	ASCC3
700	Tbio	PYCARD
701	Tbio	ASF1B
702	Tbio	C2orf49
703	Tbio	ASIP
704	Tbio	SMPDL3A
705	Tbio	SMPDL3B
706	Tdark	ASMTL
707	Tbio	ASPSCR1
708	Tbio	AGR2
709	Tbio	AGR3
722	Tbio	AGXT2
723	Tdark	AHDC1
724	Tbio	AHRR
725	Tbio	AIFM2
726	Tbio	AIG1
727	Tdark	ALPK3
728	Tchem	GFER
729	Tbio	ALX3
730	Tbio	AMELY
731	Tbio	AMOTL1
732	Tbio	AMOTL2
733	Tbio	AMOT
734	Tbio	AMPH
735	Tchem	ANPEP
736	Tbio	ANP32A
737	Tchem	PRMT7
738	Tchem	PRMT8
739	Tdark	ANKRD24
740	Tbio	ANKRD26
741	Tbio	ANKRD42
742	Tdark	ANKRD44
743	Tbio	ANKRD46
744	Tdark	ANKRD52
745	Tbio	ANKRD54
746	Tdark	ANKRD60
747	Tdark	ANKRD61
748	Tdark	ANKRD62
749	Tdark	ANKRD63
750	Tdark	ANKRD65
751	Tbio	ANKRA2
752	Tbio	ANKS4B
753	Tbio	ANXA8L1
754	Tchem	AOC1
755	Tchem	AOC2
756	Tclin	MAOB
757	Tbio	AP1G1
758	Tbio	AP1M1
759	Tbio	ANAPC11
760	Tbio	APEX2
761	Tbio	APH1B
762	Tbio	APLP2
763	Tbio	APOC4
764	Tbio	APOE
765	Tbio	APOH
766	Tbio	APOL1
767	Tdark	C3orf35
768	Tbio	PMAIP1
769	Tdark	AQP12B
770	Tbio	AQP11
771	Tbio	AQP2
772	Tbio	AQP5
773	Tbio	AQP6
774	Tbio	AQP8
775	Tdark	ARL13A
776	Tbio	ARL2BP
777	Tbio	ARFGAP2
778	Tbio	ARFGAP3
779	Tbio	CDKN2A
780	Tdark	ARGFX
781	Tchem	ARG1
782	Tchem	ARG2
783	Tdark	ARHGEF38
784	Tbio	ARHGEF1
785	Tbio	ARHGEF17
786	Tbio	ARID1A
787	Tbio	ARIH2
788	Tbio	ANGEL1
789	Tbio	ANGEL2
790	Tbio	ANGPTL1
791	Tbio	ANGPTL2
792	Tdark	ANGPTL5
794	Tdark	ANKS3
795	Tbio	ANKS6
796	Tdark	ANKUB1
797	Tbio	ANKMY1
798	Tbio	PRMT2
799	Tbio	ANKRD11
800	Tdark	ANKRD16
802	Tbio	TFAP2C
803	Tbio	AP2S1
804	Tbio	AP3B2
805	Tbio	AP3M1
806	Tdark	AP4S1
807	Tbio	AP5Z1
808	Tbio	APBB1
809	Tdark	APBB3
810	Tdark	ANAPC16
811	Tbio	ANAPC4
812	Tbio	ANAPC5
813	Tbio	APCDD1
814	Tbio	APC2
815	Tbio	APMAP
816	Tbio	APOC2
817	Tbio	APOD
818	Tbio	APOL3
819	Tbio	ARL6IP1
820	Tbio	ARL6IP4
821	Tdark	ARL6IP6
822	Tbio	ARAP1
823	Tbio	ARAP2
824	Tdark	ARHGEF37
825	Tbio	ARHGEF2
826	Tbio	ARHGEF4
827	Tbio	NET1
828	Tbio	ARHGEF9
829	Tbio	ARHGEF11
830	Tbio	ARHGEF12
831	Tbio	ARHGEF15
832	Tbio	ARHGEF18
833	Tdark	ADPRHL1
834	Tbio	AKR7A3
835	Tdark	AKR7L
836	Tdark	ARL16
837	Tbio	ARL1
838	Tbio	ARL4C
839	Tdark	ARL5C
840	Tbio	ARL6
841	Tbio	ARL8A
842	Tbio	ARNT2
843	Tbio	RPS19BP1
844	Tbio	ARPP19
845	Tbio	ADD1
846	Tbio	ADD3
847	Tbio	AFTPH
849	Tbio	AGO2
857	Tbio	AGRN
861	Tbio	AGRP
862	Tclin	AGTR1
863	Tchem	AMPD1
864	Tchem	AMPD2
865	Tchem	LAP3
866	Tbio	LRPAP1
867	Tbio	AMTN
868	Tclin	AMY2A
869	Tdark	AMZ1
870	Tdark	ANKRD13D
871	Tdark	ANKRD18B
872	Tbio	ANKRD30A
873	Tbio	ANKRD34B
874	Tbio	NAGLU
875	Tclin	AR
876	Tdark	ANHX
877	Tbio	ANK3
878	Tbio	ANKRD1
879	Tbio	ANKRD6
880	Tdark	ANKRD7
881	Tbio	ANKZF1
882	Tchem	PRMT5
883	Tbio	ANO3
884	Tbio	ANO4
885	Tbio	ANO7
886	Tbio	ANO8
887	Tclin	NPR1
888	Tbio	ANKRD17
889	Tdark	ANKRD22
890	Tbio	ANKRD27
891	Tbio	ANKRD28
892	Tdark	ANKRD29
893	Tdark	ANKRD31
894	Tdark	ANKRD37
895	Tdark	ANKRD39
896	Tdark	ANKRD40
897	Tdark	ANKRD45
898	Tbio	ANKRD53
899	Tdark	ANKRD66
900	Tbio	ANKS1B
901	Tdark	ANTXRL
902	Tbio	ANXA5
903	Tbio	AOX1
904	Tbio	SNAP91
905	Tbio	AP1AR
906	Tbio	AP1B1
907	Tbio	AP1S2
908	Tbio	AP2A2
909	Tdark	TFAP2D
910	Tbio	AP3D1
911	Tbio	AP3M2
912	Tbio	AP3S1
914	Tbio	APBB2
915	Tdark	ANAPC15
916	Tbio	ANAPC7
917	Tchem	APLN
918	Tbio	APH1A
919	Tbio	API5
920	Tdark	APOLD1
921	Tbio	APLP1
922	Tbio	APOA1
923	Tbio	APOF
924	Tbio	APOL4
925	Tbio	APOL5
926	Tbio	APOM
927	Tbio	ARF5
928	Tbio	ARF6
929	Tdark	ARHGEF39
930	Tdark	ARHGEF10L
931	Tbio	ARMC1
932	Tbio	ARMC3
933	Tbio	ARMCX1
934	Tdark	ARMCX6
935	Tbio	ARNT
936	Tbio	ARPP21
937	Tbio	ACTR3
938	Tdark	ACTR8
940	Tbio	ARRB2
941	Tdark	ARSK
942	Tbio	ARTN
943	Tdark	ASAH2B
944	Tbio	ASAP1
945	Tbio	ASAP2
946	Tbio	ASAP3
947	Tdark	ASB17
948	Tdark	ASB18
949	Tdark	ASB1
950	Tdark	ASB7
951	Tdark	ASCC2
952	Tbio	ASRGL1
953	Tbio	ASNA1
954	Tbio	ASPN
955	Tbio	ACRV1
956	Tbio	ASTE1
957	Tbio	ASTN2
958	Tbio	ASZ1
959	Tchem	ATP12A
960	Tdark	ATP13A1
961	Tbio	ATP13A2
962	Tclin	ATP1A2
963	Tchem	ATP2A1
964	Tbio	ATP2A2
965	Tbio	ATP2A3
966	Tbio	ATP2B4
967	Tbio	ATP2C1
968	Tbio	ATP2C2
971	Tbio	ACYP2
972	Tdark	ADAM18
973	Tclin	ADRA1A
974	Tbio	ADAM22
975	Tbio	ADAM23
976	Tbio	ADAM28
977	Tbio	ADM2
978	Tdark	ADNP2
979	Tbio	ADPGK
980	Tbio	AASDHPPT
981	Tbio	ADPRH
982	Tbio	ADRM1
983	Tbio	FDXR
984	Tbio	SLC25A5
985	Tbio	MLLT10
986	Tbio	MLLT11
989	Tbio	PGM3
990	Tbio	AGO3
996	Tchem	AGTR2
997	Tbio	AIMP1
998	Tbio	AIP
999	Tdark	ANKIB1
1000	Tdark	AKIRIN1
1001	Tdark	AKNAD1
1002	Tbio	ALG1
1003	Tbio	ALG2
1004	Tbio	ALG6
1005	Tbio	ALG8
1006	Tbio	AGMO
1007	Tbio	ALS2
1008	Tbio	ALX1
1009	Tbio	AMER2
1010	Tdark	AMER3
1011	Tdark	ANP32D
1012	Tchem	NPPA
1013	Tbio	AGT
1014	Tdark	ANKAR
1015	Tdark	ANKEF1
1016	Tbio	ANKH
1017	Tbio	ANKK1
1018	Tbio	ANKLE1
1019	Tchem	PRMT3
1020	Tchem	PRMT6
1021	Tbio	ANO10
1022	Tbio	ANO2
1023	Tbio	ANO5
1024	Tbio	ANO9
1025	Tbio	NPR2
1026	Tbio	ANXA1
1027	Tbio	ANXA7
1028	Tclin	MAOA
1029	Tbio	AP1G2
1030	Tbio	AP1M2
1031	Tbio	AP1S3
1032	Tbio	TFAP2E
1033	Tbio	AP2M1
1034	Tbio	AP3B1
1035	Tdark	AP3S2
1036	Tbio	NUDT2
1037	Tbio	AP4B1
1038	Tdark	AP4E1
1039	Tbio	AP4M1
1040	Tdark	APCDD1L
1041	Tbio	APC
1042	Tbio	APOA5
1043	Tbio	APOBR
1044	Tchem	APOB
1045	Tbio	APOC1
1046	Tbio	PRNP
1048	Tdark	AIF1L
1049	Tbio	AIM2
1050	Tbio	INA
1051	Tbio	AIPL1
1052	Tbio	AJUBA
1053	Tchem	AKR1A1
1054	Tchem	AKR1B10
1055	Tdark	PALM2-AKAP2
1056	Tbio	AKAP3
1057	Tbio	AKAP4
1059	Tbio	ALDH1A2
1060	Tbio	ALDH1A3
1061	Tbio	ALDH1L2
1062	Tbio	ALS2CL
1063	Tdark	ALS2CR12
1064	Tchem	ALOX5AP
1065	Tbio	ALG13
1066	Tbio	ALG14
1067	Tdark	ALG1L
1068	Tbio	ALKBH2
1069	Tdark	ALKBH6
1071	Tbio	ALPK1
1072	Tbio	ALPK2
1073	Tbio	ALX4
1074	Tchem	AMPD3
1075	Tbio	ANKFY1
1076	Tbio	ANKRD23
1077	Tdark	ANKRD35
1078	Tbio	ANKRD49
1079	Tdark	ANKRD50
1080	Tbio	ANKRD55
1081	Tbio	ANTXR2
1082	Tbio	ANXA10
1083	Tbio	ANXA2
1084	Tbio	ANXA3
1085	Tbio	ANXA4
1086	Tbio	ANXA6
1087	Tbio	AP1S1
1088	Tbio	AP2A1
1089	Tbio	TFAP2A
1090	Tbio	ANAPC1
1091	Tchem	APEX1
1092	Tbio	APOC3
1093	Tbio	APOL2
1094	Tbio	APOL6
1095	Tdark	APOPT1
1096	Tbio	AQP3
1097	Tbio	AQP4
1098	Tbio	AQR
1099	Tbio	ARAP3
1102	Tbio	ARPC1A
1103	Tbio	ZBTB8OS
1104	Tbio	ARFGAP1
1105	Tbio	ARFRP1
1106	Tdark	ARHGEF35
1107	Tbio	ARHGEF25
1108	Tbio	LDLRAP1
1109	Tbio	ARID3B
1110	Tbio	ARID2
1111	Tbio	ARL11
1112	Tbio	ARL14
1113	Tbio	ARL8B
1114	Tbio	ASL
1115	Tbio	ARMC10
1116	Tdark	ARMC2
1117	Tbio	ARMC4
1118	Tbio	ARMC5
1119	Tdark	ARMC6
1120	Tbio	ARMC8
1121	Tdark	ARMCX4
1122	Tbio	ACTR2
1123	Tdark	ACTR3C
1124	Tbio	ARPC4
1125	Tbio	ARRB1
1126	Tdark	ARRDC5
1127	Tbio	ARSB
1128	Tbio	ARSH
1129	Tbio	ARSI
1130	Tdark	ARSJ
